# Number of waters within 3 Angstroms
# Input PSF: ../../noGBI_s211.psf
# Input DCD, skip 10: ../../npt01-fwd.dcd

# Selection 0: sidechain and resid 211
# Selection 1: sidechain and resid 112
# Selection 2: sidechain and resid 185

# Frame	0	1	2
0		5	17	13
1		7	18	12
2		8	15	9
3		5	18	10
4		8	16	10
5		8	16	12
6		5	20	8
7		7	16	8
8		4	15	9
9		5	15	8
10		8	14	11
11		4	18	11
12		10	18	10
13		7	13	11
14		13	17	8
15		5	16	10
16		5	15	9
17		4	14	13
18		3	16	11
19		7	15	10
20		6	16	11
21		6	19	10
22		6	18	13
23		8	13	11
24		6	14	10
25		8	14	9
26		8	18	10
27		5	15	13
28		8	19	8
29		8	15	11
30		7	13	12
31		6	16	13
32		7	15	10
33		7	18	8
34		8	16	9
35		6	16	8
36		7	17	10
37		11	16	9
38		7	15	13
39		4	14	8
40		9	18	14
41		8	18	12
42		6	17	14
43		9	17	8
44		6	16	12
45		7	16	11
46		9	19	9
47		8	16	10
48		6	16	12
49		6	18	11
50		9	13	10
51		5	18	10
52		5	17	9
53		5	15	10
54		5	15	12
55		9	14	7
56		5	16	9
57		9	14	11
58		4	15	12
59		8	14	10
60		10	15	8
61		5	16	9
62		7	17	9
63		9	17	12
64		5	16	9
65		8	16	11
66		8	15	11
67		5	17	8
68		7	15	10
69		7	16	12
70		4	15	9
71		5	14	9
72		8	14	9
73		6	16	10
74		5	15	13
75		7	16	10
76		6	15	14
77		7	17	10
78		7	16	10
79		8	15	10
80		7	18	12
81		7	18	12
82		5	16	10
83		5	19	11
84		5	20	11
85		5	17	11
86		7	16	9
87		6	15	12
88		5	17	13
89		9	16	13
90		7	16	9
91		7	15	13
92		8	20	7
93		5	16	10
94		6	15	7
95		7	18	8
96		6	16	9
97		2	15	13
98		5	13	11
99		2	18	13
100		6	19	11
101		5	18	13
102		7	15	12
103		10	16	14
104		7	16	11
105		5	15	10
106		6	17	11
107		5	19	9
108		7	16	9
109		9	14	12
110		5	18	9
111		7	15	12
112		8	16	8
113		5	17	13
114		5	13	10
115		5	20	14
116		6	19	11
117		7	18	10
118		7	18	11
119		6	18	11
120		6	19	8
121		5	15	8
122		6	19	11
123		8	19	13
124		5	19	14
125		5	15	12
126		10	15	13
127		4	15	11
128		7	15	13
129		8	17	9
130		9	17	9
131		6	12	16
132		11	17	12
133		7	18	14
134		6	14	15
135		8	16	14
136		5	14	11
137		6	17	10
138		11	18	9
139		8	17	12
140		7	20	12
141		6	20	12
142		9	15	13
143		6	16	12
144		5	17	11
145		8	19	15
146		6	17	13
147		5	19	11
148		6	17	13
149		7	17	12
150		6	16	11
151		6	13	13
152		8	16	12
153		8	18	14
154		8	17	12
155		5	18	13
156		8	17	15
157		8	15	18
158		8	18	15
159		9	17	14
160		9	19	15
161		8	17	14
162		8	14	16
163		9	14	12
164		9	18	18
165		5	15	14
166		8	17	16
167		10	18	15
168		8	17	9
169		8	17	16
170		10	14	13
171		4	12	16
172		10	18	15
173		7	20	17
174		7	16	16
175		9	18	14
176		9	20	19
177		8	12	16
178		4	14	14
179		9	16	18
180		7	13	16
181		7	16	18
182		10	15	14
183		7	17	17
184		9	15	22
185		10	14	18
186		8	13	20
187		7	19	18
188		8	19	20
189		5	16	20
190		5	19	19
191		7	19	16
192		7	18	15
193		8	17	14
194		9	15	15
195		6	15	15
196		9	14	12
197		6	16	15
198		10	18	18
199		5	15	21
200		8	15	16
201		7	14	14
202		5	14	17
203		9	13	21
204		7	14	19
205		10	15	18
206		10	21	12
207		12	18	13
208		11	17	14
209		8	17	14
210		5	19	17
211		7	15	13
212		7	15	16
213		7	17	12
214		11	21	15
215		8	13	12
216		12	20	14
217		11	17	13
218		9	19	17
219		9	21	16
220		7	20	18
221		9	20	19
222		11	20	17
223		10	20	18
224		8	14	14
225		7	15	16
226		7	13	14
227		5	15	18
228		6	12	20
229		9	19	19
230		7	14	20
231		8	14	17
232		9	16	17
233		9	16	17
234		7	14	20
235		8	13	16
236		10	14	19
237		2	15	20
238		9	12	15
239		7	13	20
240		8	18	19
241		6	12	18
242		9	16	16
243		6	15	17
244		8	16	16
245		7	13	17
246		9	16	13
247		9	15	16
248		9	16	14
249		8	15	15
250		7	17	17
# Avgs: [  7.11553785  16.24302789  12.89243028]
# Stds: [ 1.88054561  2.01010921  3.36497996]
